date time unix_time bits_received
2022-11-19 23:57:15 1668902235 31656
2022-11-19 23:54:15 1668902055 31800
2022-11-19 23:51:15 1668901875 32848
2022-11-19 23:48:16 1668901696 30744
2022-11-19 23:45:15 1668901515 32016
2022-11-19 23:42:15 1668901335 32976
2022-11-19 23:39:15 1668901155 32088
2022-11-19 23:36:16 1668900976 40976
2022-11-19 23:33:15 1668900795 39688
2022-11-19 23:30:15 1668900615 31688
2022-11-19 23:27:15 1668900435 32416
2022-11-19 23:24:15 1668900255 31208
2022-11-19 23:21:15 1668900075 33328
2022-11-19 23:18:15 1668899895 31064
2022-11-19 23:15:15 1668899715 32152
2022-11-19 23:12:16 1668899536 32496
2022-11-19 23:09:15 1668899355 32296
2022-11-19 23:06:15 1668899175 40864
2022-11-19 23:03:16 1668898996 42200
2022-11-19 23:00:15 1668898815 31808
2022-11-19 22:57:15 1668898635 31552
2022-11-19 22:54:16 1668898456 31664
2022-11-19 22:51:15 1668898275 33096
2022-11-19 22:48:15 1668898095 31104
2022-11-19 22:45:15 1668897915 31320
2022-11-19 22:42:15 1668897735 32488
2022-11-19 22:39:15 1668897555 32448
2022-11-19 22:36:15 1668897375 40440
2022-11-19 22:33:15 1668897195 39808
2022-11-19 22:30:15 1668897015 32128
2022-11-19 22:27:15 1668896835 31248
2022-11-19 22:24:15 1668896655 31800
2022-11-19 22:21:15 1668896475 31704
2022-11-19 22:18:15 1668896295 31648
2022-11-19 22:15:15 1668896115 32600
2022-11-19 22:12:15 1668895935 31952
2022-11-19 22:09:15 1668895755 32480
2022-11-19 22:06:15 1668895575 41344
2022-11-19 22:03:15 1668895395 42312
2022-11-19 22:00:15 1668895215 32488
2022-11-19 21:57:16 1668895036 30728
2022-11-19 21:54:15 1668894855 31952
2022-11-19 21:51:15 1668894675 32744
2022-11-19 21:48:16 1668894496 31792
2022-11-19 21:45:15 1668894315 32128
2022-11-19 21:42:15 1668894135 32080
2022-11-19 21:39:15 1668893955 32480
2022-11-19 21:36:15 1668893775 40776
2022-11-19 21:33:15 1668893595 40064
2022-11-19 21:30:15 1668893415 31680
2022-11-19 21:27:15 1668893235 31608
2022-11-19 21:24:15 1668893055 31600
2022-11-19 21:21:15 1668892875 29760
2022-11-19 21:18:15 1668892695 32040
2022-11-19 21:15:15 1668892515 31848
2022-11-19 21:12:15 1668892335 32384
2022-11-19 21:09:15 1668892155 32304
2022-11-19 21:06:15 1668891975 40424
2022-11-19 21:03:15 1668891795 42744
2022-11-19 21:00:15 1668891615 32512
2022-11-19 20:57:15 1668891435 30768
2022-11-19 20:54:15 1668891255 31968
2022-11-19 20:51:15 1668891075 31960
2022-11-19 20:48:15 1668890895 32152
2022-11-19 20:45:15 1668890715 31448
2022-11-19 20:42:15 1668890535 31960
2022-11-19 20:39:15 1668890355 32120
2022-11-19 20:36:15 1668890175 40328
2022-11-19 20:33:15 1668889995 40456
2022-11-19 20:30:15 1668889815 31440
2022-11-19 20:27:15 1668889635 31496
2022-11-19 20:24:15 1668889455 32320
2022-11-19 20:21:15 1668889275 31744
2022-11-19 20:18:16 1668889096 31928
2022-11-19 20:15:15 1668888915 31576
2022-11-19 20:12:15 1668888735 32408
2022-11-19 20:09:16 1668888556 32320
2022-11-19 20:06:15 1668888375 40120
2022-11-19 20:03:15 1668888195 42688
2022-11-19 20:00:16 1668888016 31912
2022-11-19 19:57:16 1668887836 31592
2022-11-19 19:54:15 1668887655 32016
2022-11-19 19:51:15 1668887475 31960
2022-11-19 19:48:15 1668887295 32608
2022-11-19 19:45:15 1668887115 31120
2022-11-19 19:42:15 1668886935 32624
2022-11-19 19:39:15 1668886755 32320
2022-11-19 19:36:15 1668886575 40552
2022-11-19 19:33:15 1668886395 40608
2022-11-19 19:30:15 1668886215 31664
2022-11-19 19:27:15 1668886035 30800
2022-11-19 19:24:15 1668885855 32216
2022-11-19 19:21:15 1668885675 31624
2022-11-19 19:18:15 1668885495 32104
2022-11-19 19:15:15 1668885315 31200
2022-11-19 19:12:15 1668885135 32784
2022-11-19 19:09:15 1668884955 32408
2022-11-19 19:06:15 1668884775 40152
2022-11-19 19:03:15 1668884595 42512
2022-11-19 19:00:15 1668884415 31464
2022-11-19 18:57:15 1668884235 32256
2022-11-19 18:54:15 1668884055 31584
2022-11-19 18:51:15 1668883875 31960
2022-11-19 18:48:16 1668883696 32424
2022-11-19 18:45:15 1668883515 31240
2022-11-19 18:42:16 1668883336 33088
2022-11-19 18:39:15 1668883155 31872
2022-11-19 18:36:15 1668882975 40936
2022-11-19 18:33:15 1668882795 40408
2022-11-19 18:30:15 1668882615 30416
2022-11-19 18:27:16 1668882436 32128
2022-11-19 18:24:15 1668882255 31896
2022-11-19 18:21:15 1668882075 32136
2022-11-19 18:18:15 1668881895 32176
2022-11-19 18:15:15 1668881715 30968
