date time unix_time bits_received
2022-11-13 23:57:16 1668383836 45704
2022-11-13 23:54:15 1668383655 42704
2022-11-13 23:51:15 1668383475 43192
2022-11-13 23:48:16 1668383296 43840
2022-11-13 23:45:16 1668383116 52440
2022-11-13 23:42:16 1668382936 44728
2022-11-13 23:39:15 1668382755 42960
2022-11-13 23:36:15 1668382575 47160
2022-11-13 23:33:16 1668382396 51552
2022-11-13 23:30:15 1668382215 42896
2022-11-13 23:27:16 1668382036 45104
2022-11-13 23:24:15 1668381855 42864
2022-11-13 23:21:15 1668381675 44072
2022-11-13 23:18:16 1668381496 42888
2022-11-13 23:15:15 1668381315 52024
2022-11-13 23:12:15 1668381135 45152
2022-11-13 23:09:15 1668380955 43448
2022-11-13 23:06:15 1668380775 46640
2022-11-13 23:03:15 1668380595 52992
2022-11-13 23:00:15 1668380415 43144
2022-11-13 22:57:16 1668380236 44656
2022-11-13 22:54:16 1668380056 42536
2022-11-13 22:51:15 1668379875 42656
2022-11-13 22:48:16 1668379696 42864
2022-11-13 22:45:15 1668379515 53472
2022-11-13 22:42:16 1668379336 44792
2022-11-13 22:39:16 1668379156 42800
2022-11-13 22:36:15 1668378975 46960
2022-11-13 22:33:15 1668378795 51928
2022-11-13 22:30:16 1668378616 43104
2022-11-13 22:27:15 1668378435 43760
2022-11-13 22:24:15 1668378255 43568
2022-11-13 22:21:15 1668378075 44200
2022-11-13 22:18:15 1668377895 43056
2022-11-13 22:15:15 1668377715 53288
2022-11-13 22:12:15 1668377535 45464
2022-11-13 22:09:15 1668377355 43432
2022-11-13 22:06:15 1668377175 47552
2022-11-13 22:03:16 1668376996 54432
2022-11-13 22:00:16 1668376816 42936
2022-11-13 21:57:15 1668376635 44648
2022-11-13 21:54:15 1668376455 40304
2022-11-13 21:51:15 1668376275 43320
2022-11-13 21:48:15 1668376095 43472
2022-11-13 21:45:15 1668375915 53920
2022-11-13 21:42:15 1668375735 45080
2022-11-13 21:39:16 1668375556 43272
2022-11-13 21:36:15 1668375375 47024
2022-11-13 21:33:15 1668375195 52664
2022-11-13 21:30:15 1668375015 43424
2022-11-13 21:27:16 1668374836 44440
2022-11-13 21:24:15 1668374655 44456
2022-11-13 21:21:15 1668374475 43352
2022-11-13 21:18:15 1668374295 44672
2022-11-13 21:15:15 1668374115 53312
2022-11-13 21:12:15 1668373935 45048
2022-11-13 21:09:16 1668373756 43416
2022-11-13 21:06:15 1668373575 47256
2022-11-13 21:03:15 1668373395 53552
2022-11-13 21:00:15 1668373215 43344
2022-11-13 20:57:15 1668373035 44376
2022-11-13 20:54:15 1668372855 41400
2022-11-13 20:51:15 1668372675 44648
2022-11-13 20:48:16 1668372496 43192
2022-11-13 20:45:15 1668372315 53232
2022-11-13 20:42:15 1668372135 45824
2022-11-13 20:39:15 1668371955 43728
2022-11-13 20:36:15 1668371775 45856
2022-11-13 20:33:16 1668371596 51448
2022-11-13 20:30:16 1668371416 44568
2022-11-13 20:27:15 1668371235 44080
2022-11-13 20:24:15 1668371055 44504
2022-11-13 20:21:15 1668370875 42144
2022-11-13 20:18:15 1668370695 43184
2022-11-13 20:15:15 1668370515 54320
2022-11-13 20:12:15 1668370335 43400
2022-11-13 20:09:16 1668370156 43408
2022-11-13 20:06:15 1668369975 46552
2022-11-13 20:03:15 1668369795 54464
2022-11-13 20:00:15 1668369615 42944
2022-11-13 19:57:16 1668369436 45024
2022-11-13 19:54:15 1668369255 43952
2022-11-13 19:51:15 1668369075 44440
2022-11-13 19:48:15 1668368895 43800
2022-11-13 19:45:15 1668368715 52960
2022-11-13 19:42:16 1668368536 45176
