date time unix_time bits_sent
2022-11-19 23:57:15 1668902235 12296
2022-11-19 23:54:15 1668902055 15664
2022-11-19 23:51:15 1668901875 12432
2022-11-19 23:48:16 1668901696 12144
2022-11-19 23:45:15 1668901515 12136
2022-11-19 23:42:15 1668901335 13848
2022-11-19 23:39:15 1668901155 14280
2022-11-19 23:36:16 1668900976 12464
2022-11-19 23:33:15 1668900795 12024
2022-11-19 23:30:15 1668900615 12424
2022-11-19 23:27:15 1668900435 15632
2022-11-19 23:24:15 1668900255 11976
2022-11-19 23:21:15 1668900075 12680
2022-11-19 23:18:16 1668899896 11992
2022-11-19 23:15:15 1668899715 16032
2022-11-19 23:12:16 1668899536 12072
2022-11-19 23:09:15 1668899355 12520
2022-11-19 23:06:15 1668899175 12352
2022-11-19 23:03:15 1668898995 18760
2022-11-19 23:00:15 1668898815 12480
2022-11-19 22:57:15 1668898635 12088
2022-11-19 22:54:16 1668898456 12408
2022-11-19 22:51:15 1668898275 16016
2022-11-19 22:48:15 1668898095 12344
2022-11-19 22:45:15 1668897915 12072
2022-11-19 22:42:15 1668897735 12504
2022-11-19 22:39:15 1668897555 15912
2022-11-19 22:36:15 1668897375 12488
2022-11-19 22:33:15 1668897195 12168
2022-11-19 22:30:15 1668897015 12696
2022-11-19 22:27:15 1668896835 15664
2022-11-19 22:24:15 1668896655 12120
2022-11-19 22:21:15 1668896475 11984
2022-11-19 22:18:15 1668896295 12392
2022-11-19 22:15:15 1668896115 15824
2022-11-19 22:12:16 1668895936 12288
2022-11-19 22:09:15 1668895755 12336
2022-11-19 22:06:15 1668895575 12576
2022-11-19 22:03:16 1668895396 18440
2022-11-19 22:00:15 1668895215 12784
2022-11-19 21:57:16 1668895036 11904
2022-11-19 21:54:15 1668894855 12464
2022-11-19 21:51:15 1668894675 15688
2022-11-19 21:48:16 1668894496 12344
2022-11-19 21:45:15 1668894315 12288
2022-11-19 21:42:15 1668894135 12376
2022-11-19 21:39:15 1668893955 16056
2022-11-19 21:36:15 1668893775 12272
2022-11-19 21:33:15 1668893595 12416
2022-11-19 21:30:15 1668893415 12200
2022-11-19 21:27:15 1668893235 16016
2022-11-19 21:24:15 1668893055 12112
2022-11-19 21:21:15 1668892875 12520
2022-11-19 21:18:15 1668892695 11840
2022-11-19 21:15:15 1668892515 12384
2022-11-19 21:12:15 1668892335 15640
2022-11-19 21:09:15 1668892155 12464
2022-11-19 21:06:15 1668891975 12088
2022-11-19 21:03:15 1668891795 16264
2022-11-19 21:00:15 1668891615 15616
2022-11-19 20:57:15 1668891435 12232
2022-11-19 20:54:15 1668891255 12216
2022-11-19 20:51:15 1668891075 12496
2022-11-19 20:48:15 1668890895 15848
2022-11-19 20:45:15 1668890715 12056
2022-11-19 20:42:15 1668890535 12312
2022-11-19 20:39:15 1668890355 12424
2022-11-19 20:36:15 1668890175 15928
