date time unix_time bits_sent
2022-11-20 23:57:15 1668988635 12088
2022-11-20 23:54:15 1668988455 12640
2022-11-20 23:51:15 1668988275 15744
2022-11-20 23:48:15 1668988095 12328
2022-11-20 23:45:15 1668987915 12360
2022-11-20 23:42:15 1668987735 12112
2022-11-20 23:39:15 1668987555 15656
2022-11-20 23:36:15 1668987375 11680
2022-11-20 23:33:16 1668987196 12120
2022-11-20 23:30:15 1668987015 12368
2022-11-20 23:27:15 1668986835 15560
2022-11-20 23:24:16 1668986656 12760
2022-11-20 23:21:16 1668986476 12056
2022-11-20 23:18:15 1668986295 12296
2022-11-20 23:15:15 1668986115 12656
2022-11-20 23:12:16 1668985936 15328
2022-11-20 23:09:15 1668985755 12544
2022-11-20 23:06:15 1668985575 12136
2022-11-20 23:03:15 1668985395 15976
2022-11-20 23:00:15 1668985215 15680
2022-11-20 22:57:16 1668985036 12240
2022-11-20 22:54:15 1668984855 12440
2022-11-20 22:51:15 1668984675 12312
2022-11-20 22:48:15 1668984495 15672
2022-11-20 22:45:15 1668984315 12264
2022-11-20 22:42:16 1668984136 12336
2022-11-20 22:39:15 1668983955 12256
2022-11-20 22:36:15 1668983775 15888
2022-11-20 22:33:15 1668983595 12272
2022-11-20 22:30:16 1668983416 12288
2022-11-20 22:27:16 1668983236 12112
2022-11-20 22:24:15 1668983055 16328
2022-11-20 22:21:15 1668982875 11944
2022-11-20 22:18:15 1668982695 12176
2022-11-20 22:15:15 1668982515 12512
2022-11-20 22:12:15 1668982335 15640
2022-11-20 22:09:15 1668982155 12584
2022-11-20 22:06:15 1668981975 12032
2022-11-20 22:03:16 1668981796 15880
2022-11-20 22:00:15 1668981615 15768
2022-11-20 21:57:15 1668981435 12304
2022-11-20 21:54:15 1668981255 12408
2022-11-20 21:51:15 1668981075 12192
2022-11-20 21:48:15 1668980895 15896
2022-11-20 21:45:15 1668980715 11816
2022-11-20 21:42:15 1668980535 12432
2022-11-20 21:39:15 1668980355 12120
2022-11-20 21:36:15 1668980175 12792
2022-11-20 21:33:15 1668979995 15216
2022-11-20 21:30:15 1668979815 12144
2022-11-20 21:27:15 1668979635 12304
2022-11-20 21:24:15 1668979455 12704
2022-11-20 21:21:15 1668979275 15344
2022-11-20 21:18:15 1668979095 12192
2022-11-20 21:15:15 1668978915 12568
2022-11-20 21:12:16 1668978736 12288
2022-11-20 21:09:15 1668978555 16000
2022-11-20 21:06:15 1668978375 12104
2022-11-20 21:03:15 1668978195 16144
2022-11-20 21:00:15 1668978015 12168
2022-11-20 20:57:15 1668977835 15456
2022-11-20 20:54:15 1668977655 12800
2022-11-20 20:51:15 1668977475 11960
2022-11-20 20:48:15 1668977295 12640
2022-11-20 20:45:15 1668977115 14944
2022-11-20 20:42:15 1668976935 12312
2022-11-20 20:39:15 1668976755 12424
2022-11-20 20:36:15 1668976575 12240
2022-11-20 20:33:16 1668976396 16224
2022-11-20 20:30:15 1668976215 11840
2022-11-20 20:27:15 1668976035 12072
2022-11-20 20:24:15 1668975855 12616
2022-11-20 20:21:15 1668975675 14624
2022-11-20 20:18:16 1668975496 12304
2022-11-20 20:15:15 1668975315 12048
2022-11-20 20:12:15 1668975135 12552
2022-11-20 20:09:15 1668974955 15928
2022-11-20 20:06:15 1668974775 12376
2022-11-20 20:03:15 1668974595 15840
2022-11-20 20:00:16 1668974416 11848
2022-11-20 19:57:16 1668974236 16128
2022-11-20 19:54:15 1668974055 12200
2022-11-20 19:51:15 1668973875 12376
2022-11-20 19:48:15 1668973695 12024
2022-11-20 19:45:15 1668973515 15776
2022-11-20 19:42:15 1668973335 12496
2022-11-20 19:39:16 1668973156 12328
2022-11-20 19:36:15 1668972975 12168
2022-11-20 19:33:15 1668972795 15944
2022-11-20 19:30:15 1668972615 12136
2022-11-20 19:27:15 1668972435 12224
2022-11-20 19:24:15 1668972255 12520
2022-11-20 19:21:15 1668972075 15976
2022-11-20 19:18:15 1668971895 12264
2022-11-20 19:15:15 1668971715 12080
2022-11-20 19:12:16 1668971536 12784
2022-11-20 19:09:16 1668971356 15776
2022-11-20 19:06:16 1668971176 12528
2022-11-20 19:03:16 1668970996 15784
2022-11-20 19:00:15 1668970815 12272
2022-11-20 18:57:15 1668970635 15832
2022-11-20 18:54:15 1668970455 12208
2022-11-20 18:51:15 1668970275 11872
2022-11-20 18:48:15 1668970095 12304
2022-11-20 18:45:15 1668969915 12264
2022-11-20 18:42:15 1668969735 16112
2022-11-20 18:39:16 1668969556 11912
2022-11-20 18:36:15 1668969375 12480
2022-11-20 18:33:15 1668969195 12560
2022-11-20 18:30:15 1668969015 15656
2022-11-20 18:27:15 1668968835 12136
2022-11-20 18:24:15 1668968655 12440
2022-11-20 18:21:15 1668968475 12472
2022-11-20 18:18:15 1668968295 15616
2022-11-20 18:15:15 1668968115 12128
2022-11-20 18:12:15 1668967935 12392
2022-11-20 18:09:15 1668967755 12448
2022-11-20 18:06:15 1668967575 15728
2022-11-20 18:03:15 1668967395 15928
2022-11-20 18:00:15 1668967215 12104
2022-11-20 17:57:16 1668967036 12392
2022-11-20 17:54:15 1668966855 15680
2022-11-20 17:51:15 1668966675 11896
2022-11-20 17:48:16 1668966496 12216
2022-11-20 17:45:15 1668966315 12152
2022-11-20 17:42:15 1668966135 16408
2022-11-20 17:39:15 1668965955 12032
2022-11-20 17:36:15 1668965775 12224
2022-11-20 17:33:15 1668965595 12296
2022-11-20 17:30:15 1668965415 15888
2022-11-20 17:27:15 1668965235 12400
2022-11-20 17:24:15 1668965055 1922896
2022-11-20 17:21:15 1668964875 2122632
2022-11-20 17:18:15 1668964695 1644320
2022-11-20 17:15:15 1668964515 3005496
2022-11-20 17:12:15 1668964335 1902664
2022-11-20 17:09:15 1668964155 11936
2022-11-20 17:06:15 1668963975 12856
2022-11-20 17:03:16 1668963796 18752
2022-11-20 17:00:15 1668963615 12448
2022-11-20 16:57:15 1668963435 12016
2022-11-20 16:54:15 1668963255 12272
2022-11-20 16:51:15 1668963075 15976
2022-11-20 16:48:15 1668962895 11880
2022-11-20 16:45:15 1668962715 12384
2022-11-20 16:42:15 1668962535 12360
2022-11-20 16:39:15 1668962355 15912
2022-11-20 16:36:15 1668962175 12264
2022-11-20 16:33:16 1668961996 12224
2022-11-20 16:30:15 1668961815 12416
2022-11-20 16:27:16 1668961636 15944
2022-11-20 16:24:15 1668961455 11896
2022-11-20 16:21:15 1668961275 12656
2022-11-20 16:18:15 1668961095 11960
2022-11-20 16:15:15 1668960915 15776
2022-11-20 16:12:16 1668960736 12400
2022-11-20 16:09:15 1668960555 12224
2022-11-20 16:06:15 1668960375 12488
2022-11-20 16:03:15 1668960195 19072
2022-11-20 16:00:15 1668960015 12552
2022-11-20 15:57:15 1668959835 12088
2022-11-20 15:54:16 1668959656 12368
2022-11-20 15:51:15 1668959475 15792
2022-11-20 15:48:15 1668959295 11904
2022-11-20 15:45:15 1668959115 12424
2022-11-20 15:42:16 1668958936 12096
2022-11-20 15:39:15 1668958755 12728
2022-11-20 15:36:15 1668958575 15744
2022-11-20 15:33:16 1668958396 12104
2022-11-20 15:30:15 1668958215 12608
2022-11-20 15:27:15 1668958035 12352
2022-11-20 15:24:15 1668957855 15696
2022-11-20 15:21:15 1668957675 12384
2022-11-20 15:18:15 1668957495 12272
2022-11-20 15:15:15 1668957315 12432
2022-11-20 15:12:16 1668957136 15704
2022-11-20 15:09:15 1668956955 12176
2022-11-20 15:06:15 1668956775 12568
2022-11-20 15:03:16 1668956596 15736
2022-11-20 15:00:15 1668956415 16200
2022-11-20 14:57:15 1668956235 11984
2022-11-20 14:54:15 1668956055 11712
2022-11-20 14:51:16 1668955876 13184
2022-11-20 14:48:15 1668955695 15192
2022-11-20 14:45:15 1668955515 12088
2022-11-20 14:42:16 1668955336 12328
2022-11-20 14:39:15 1668955155 12360
2022-11-20 14:36:15 1668954975 15968
2022-11-20 14:33:15 1668954795 12432
2022-11-20 14:30:15 1668954615 12472
2022-11-20 14:27:16 1668954436 12272
2022-11-20 14:24:15 1668954255 15656
2022-11-20 14:21:15 1668954075 12424
2022-11-20 14:18:15 1668953895 12360
2022-11-20 14:15:15 1668953715 12272
2022-11-20 14:12:15 1668953535 15560
2022-11-20 14:09:15 1668953355 12360
2022-11-20 14:06:15 1668953175 12352
2022-11-20 14:03:15 1668952995 15664
2022-11-20 14:00:15 1668952815 16336
2022-11-20 13:57:16 1668952636 11896
2022-11-20 13:54:15 1668952455 12368
2022-11-20 13:51:15 1668952275 12232
2022-11-20 13:48:16 1668952096 15896
2022-11-20 13:45:15 1668951915 12288
2022-11-20 13:42:15 1668951735 12104
2022-11-20 13:39:15 1668951555 12568
2022-11-20 13:36:15 1668951375 15736
2022-11-20 13:33:15 1668951195 12472
2022-11-20 13:30:15 1668951015 12208
2022-11-20 13:27:15 1668950835 12384
2022-11-20 13:24:15 1668950655 12400
2022-11-20 13:21:15 1668950475 15592
2022-11-20 13:18:15 1668950295 12272
2022-11-20 13:15:15 1668950115 12448
2022-11-20 13:12:15 1668949935 12088
2022-11-20 13:09:15 1668949755 15648
2022-11-20 13:06:15 1668949575 11672
2022-11-20 13:03:15 1668949395 16360
2022-11-20 13:00:15 1668949215 11408
2022-11-20 12:57:16 1668949036 15864
2022-11-20 12:54:15 1668948855 12016
2022-11-20 12:51:15 1668948675 12480
2022-11-20 12:48:15 1668948495 12408
2022-11-20 12:45:15 1668948315 15912
2022-11-20 12:42:15 1668948135 12128
2022-11-20 12:39:15 1668947955 12600
2022-11-20 12:36:15 1668947775 12104
2022-11-20 12:33:15 1668947595 16000
2022-11-20 12:30:15 1668947415 12016
2022-11-20 12:27:16 1668947236 12480
2022-11-20 12:24:15 1668947055 11960
2022-11-20 12:21:15 1668946875 15552
2022-11-20 12:18:15 1668946695 12824
2022-11-20 12:15:15 1668946515 11856
2022-11-20 12:12:15 1668946335 12528
2022-11-20 12:09:15 1668946155 16008
2022-11-20 12:06:15 1668945975 12336
2022-11-20 12:03:16 1668945796 15440
2022-11-20 12:00:15 1668945615 11616
2022-11-20 11:57:15 1668945435 12856
2022-11-20 11:54:15 1668945255 15392
2022-11-20 11:51:15 1668945075 12400
2022-11-20 11:48:15 1668944895 12472
2022-11-20 11:45:16 1668944716 12128
2022-11-20 11:42:16 1668944536 15592
2022-11-20 11:39:16 1668944356 12272
2022-11-20 11:36:15 1668944175 12472
2022-11-20 11:33:15 1668943995 12128
2022-11-20 11:30:15 1668943815 15752
2022-11-20 11:27:15 1668943635 12616
2022-11-20 11:24:15 1668943455 11800
2022-11-20 11:21:15 1668943275 12376
2022-11-20 11:18:16 1668943096 16080
2022-11-20 11:15:15 1668942915 12128
2022-11-20 11:12:15 1668942735 12168
2022-11-20 11:09:15 1668942555 12472
2022-11-20 11:06:15 1668942375 16000
2022-11-20 11:03:15 1668942195 15728
2022-11-20 11:00:15 1668942015 11968
2022-11-20 10:57:16 1668941836 12320
2022-11-20 10:54:15 1668941655 15808
2022-11-20 10:51:15 1668941475 12264
2022-11-20 10:48:15 1668941295 12576
2022-11-20 10:45:15 1668941115 11856
2022-11-20 10:42:15 1668940935 16192
2022-11-20 10:39:15 1668940755 12064
2022-11-20 10:36:15 1668940575 12672
2022-11-20 10:33:15 1668940395 12088
2022-11-20 10:30:15 1668940215 16016
2022-11-20 10:27:15 1668940035 12408
2022-11-20 10:24:16 1668939856 12240
2022-11-20 10:21:15 1668939675 12304
2022-11-20 10:18:15 1668939495 15968
2022-11-20 10:15:16 1668939316 12240
2022-11-20 10:12:15 1668939135 12248
2022-11-20 10:09:15 1668938955 12312
2022-11-20 10:06:15 1668938775 12352
2022-11-20 10:03:15 1668938595 18768
2022-11-20 10:00:15 1668938415 12304
2022-11-20 09:57:15 1668938235 12536
2022-11-20 09:54:15 1668938055 12272
2022-11-20 09:51:15 1668937875 15920
2022-11-20 09:48:15 1668937695 12632
2022-11-20 09:45:15 1668937515 12072
2022-11-20 09:42:15 1668937335 12448
2022-11-20 09:39:15 1668937155 15832
2022-11-20 09:36:15 1668936975 12616
2022-11-20 09:33:16 1668936796 12240
2022-11-20 09:30:15 1668936615 12264
2022-11-20 09:27:15 1668936435 16376
2022-11-20 09:24:15 1668936255 11904
2022-11-20 09:21:15 1668936075 12496
2022-11-20 09:18:15 1668935895 12176
2022-11-20 09:15:16 1668935716 16088
2022-11-20 09:12:15 1668935535 12080
2022-11-20 09:09:15 1668935355 11608
2022-11-20 09:06:15 1668935175 13088
2022-11-20 09:03:15 1668934995 18560
2022-11-20 09:00:16 1668934816 12064
2022-11-20 08:57:15 1668934635 12688
2022-11-20 08:54:16 1668934456 11816
2022-11-20 08:51:15 1668934275 16200
2022-11-20 08:48:15 1668934095 11976
2022-11-20 08:45:15 1668933915 12488
2022-11-20 08:42:15 1668933735 12008
2022-11-20 08:39:15 1668933555 12624
2022-11-20 08:36:15 1668933375 15832
2022-11-20 08:33:15 1668933195 12008
2022-11-20 08:30:15 1668933015 12344
2022-11-20 08:27:16 1668932836 12280
2022-11-20 08:24:16 1668932656 15912
2022-11-20 08:21:15 1668932475 12304
2022-11-20 08:18:15 1668932295 12272
2022-11-20 08:15:16 1668932116 12656
2022-11-20 08:12:15 1668931935 15632
2022-11-20 08:09:15 1668931755 12328
2022-11-20 08:06:15 1668931575 12464
2022-11-20 08:03:15 1668931395 15624
2022-11-20 08:00:16 1668931216 15696
2022-11-20 07:57:15 1668931035 12512
2022-11-20 07:54:15 1668930855 12024
2022-11-20 07:51:15 1668930675 12456
2022-11-20 07:48:15 1668930495 15848
2022-11-20 07:45:16 1668930316 12328
2022-11-20 07:42:15 1668930135 12496
2022-11-20 07:39:15 1668929955 11992
2022-11-20 07:36:15 1668929775 15968
2022-11-20 07:33:15 1668929595 11872
2022-11-20 07:30:15 1668929415 12352
2022-11-20 07:27:15 1668929235 12240
2022-11-20 07:24:15 1668929055 12792
2022-11-20 07:21:15 1668928875 15552
2022-11-20 07:18:15 1668928695 12392
2022-11-20 07:15:16 1668928516 12240
2022-11-20 07:12:15 1668928335 12520
2022-11-20 07:09:15 1668928155 15048
2022-11-20 07:06:15 1668927975 12816
2022-11-20 07:03:15 1668927795 15392
